X	Y	Type
-66.43092816	44.496593	Shipping
-66.42092816	44.496593	Shipping
-66.41092816	44.496593	Shipping
-66.40092815	44.496593	Shipping
-66.39092815	44.496593	Shipping
-66.38092815	44.496593	Shipping
-66.37092815	44.496593	Shipping
-66.36092815	44.496593	Shipping
-66.35092815	44.496593	Shipping
-66.34092815	44.496593	Shipping
-66.33092814	44.496593	Shipping
-66.32092814	44.496593	Shipping
-66.31092814	44.496593	Shipping
-66.30092814	44.496593	Shipping
-66.29092814	44.496593	Shipping
-66.28092814	44.496593	Shipping
-66.27092814	44.496593	Shipping
-66.26092813	44.496593	Shipping
-66.25092813	44.496593	Shipping
-66.49092817	44.486593	Shipping
-66.48092817	44.486593	Shipping
-66.47092816	44.486593	Shipping
-66.46092816	44.486593	Shipping
-66.45092816	44.486593	Shipping
-66.44092816	44.486593	Shipping
-66.43092816	44.486593	Shipping
-66.42092816	44.486593	Shipping
-66.41092816	44.486593	Shipping
-66.40092815	44.486593	Shipping
-66.39092815	44.486593	Shipping
-66.38092815	44.486593	Shipping
-66.37092815	44.486593	Shipping
-66.36092815	44.486593	Shipping
-66.35092815	44.486593	Shipping
-66.34092815	44.486593	Shipping
-66.33092814	44.486593	Shipping
-66.32092814	44.486593	Shipping
-66.31092814	44.486593	Shipping
-66.30092814	44.486593	Shipping
-66.29092814	44.486593	Shipping
-66.28092814	44.486593	Shipping
-66.27092814	44.486593	Shipping
-66.26092813	44.486593	Shipping
-66.52092817	44.476593	Shipping
-66.51092817	44.476593	Shipping
-66.50092817	44.476593	Shipping
-66.54092817	44.46659299	Shipping
-66.53092817	44.46659299	Shipping
-66.52092817	44.46659299	Shipping
-66.51092817	44.46659299	Shipping
-66.50092817	44.46659299	Shipping
-66.56092818	44.45659299	Shipping
-66.55092817	44.45659299	Shipping
-66.54092817	44.45659299	Shipping
-66.53092817	44.45659299	Shipping
-66.52092817	44.45659299	Shipping
-66.51092817	44.45659299	Shipping
-66.50092817	44.45659299	Shipping
-66.58092818	44.44659299	Shipping
-66.57092818	44.44659299	Shipping
-66.56092818	44.44659299	Shipping
-66.55092817	44.44659299	Shipping
-66.54092817	44.44659299	Shipping
-66.53092817	44.44659299	Shipping
-66.52092817	44.44659299	Shipping
-66.51092817	44.44659299	Shipping
-66.50092817	44.44659299	Shipping
-66.60092818	44.43659299	Shipping
-66.58092818	44.43659299	Shipping
-66.57092818	44.43659299	Shipping
-66.56092818	44.43659299	Shipping
-66.55092817	44.43659299	Shipping
-66.54092817	44.43659299	Shipping
-66.53092817	44.43659299	Shipping
-66.52092817	44.43659299	Shipping
-66.51092817	44.43659299	Shipping
-66.50092817	44.43659299	Shipping
-66.62092818	44.42659299	Shipping
-66.61092818	44.42659299	Shipping
-66.60092818	44.42659299	Shipping
-66.58092818	44.42659299	Shipping
-66.57092818	44.42659299	Shipping
-66.56092818	44.42659299	Shipping
-66.55092817	44.42659299	Shipping
-66.54092817	44.42659299	Shipping
-66.53092817	44.42659299	Shipping
-66.52092817	44.42659299	Shipping
-66.51092817	44.42659299	Shipping
-66.50092817	44.42659299	Shipping
-66.64092819	44.41659299	Shipping
-66.63092819	44.41659299	Shipping
-66.62092818	44.41659299	Shipping
-66.61092818	44.41659299	Shipping
-66.60092818	44.41659299	Shipping
-66.59092818	44.41659299	Shipping
-66.58092818	44.41659299	Shipping
-66.57092818	44.41659299	Shipping
-66.56092818	44.41659299	Shipping
-66.55092817	44.41659299	Shipping
-66.54092817	44.41659299	Shipping
-66.53092817	44.41659299	Shipping
-66.52092817	44.41659299	Shipping
-66.51092817	44.41659299	Shipping
-66.50092817	44.41659299	Shipping
-66.66092819	44.40659299	Shipping
-66.65092819	44.40659299	Shipping
-66.64092819	44.40659299	Shipping
-66.63092819	44.40659299	Shipping
-66.62092818	44.40659299	Shipping
-66.61092818	44.40659299	Shipping
-66.60092818	44.40659299	Shipping
-66.59092818	44.40659299	Shipping
-66.58092818	44.40659299	Shipping
-66.57092818	44.40659299	Shipping
-66.56092818	44.40659299	Shipping
-66.55092817	44.40659299	Shipping
-66.54092817	44.40659299	Shipping
-66.53092817	44.40659299	Shipping
-66.52092817	44.40659299	Shipping
-66.51092817	44.40659299	Shipping
-66.50092817	44.40659299	Shipping
-66.69092819	44.39659298	Shipping
-66.68092819	44.39659298	Shipping
-66.67092819	44.39659298	Shipping
-66.66092819	44.39659298	Shipping
-66.65092819	44.39659298	Shipping
-66.64092819	44.39659298	Shipping
-66.63092819	44.39659298	Shipping
-66.62092818	44.39659298	Shipping
-66.61092818	44.39659298	Shipping
-66.60092818	44.39659298	Shipping
-66.59092818	44.39659298	Shipping
-66.58092818	44.39659298	Shipping
-66.57092818	44.39659298	Shipping
-66.56092818	44.39659298	Shipping
-66.55092817	44.39659298	Shipping
-66.54092817	44.39659298	Shipping
-66.53092817	44.39659298	Shipping
-66.52092817	44.39659298	Shipping
-66.51092817	44.39659298	Shipping
-66.50092817	44.39659298	Shipping
-66.7109282	44.38659298	Shipping
-66.7009282	44.38659298	Shipping
-66.69092819	44.38659298	Shipping
-66.68092819	44.38659298	Shipping
-66.67092819	44.38659298	Shipping
-66.66092819	44.38659298	Shipping
-66.65092819	44.38659298	Shipping
-66.64092819	44.38659298	Shipping
-66.63092819	44.38659298	Shipping
-66.62092818	44.38659298	Shipping
-66.61092818	44.38659298	Shipping
-66.60092818	44.38659298	Shipping
-66.59092818	44.38659298	Shipping
-66.58092818	44.38659298	Shipping
-66.57092818	44.38659298	Shipping
-66.56092818	44.38659298	Shipping
-66.55092817	44.38659298	Shipping
-66.54092817	44.38659298	Shipping
-66.53092817	44.38659298	Shipping
-66.52092817	44.38659298	Shipping
-66.51092817	44.38659298	Shipping
-66.50092817	44.38659298	Shipping
-66.7309282	44.37659298	Shipping
-66.7209282	44.37659298	Shipping
-66.7109282	44.37659298	Shipping
-66.7009282	44.37659298	Shipping
-66.69092819	44.37659298	Shipping
-66.68092819	44.37659298	Shipping
-66.67092819	44.37659298	Shipping
-66.66092819	44.37659298	Shipping
-66.65092819	44.37659298	Shipping
-66.64092819	44.37659298	Shipping
-66.63092819	44.37659298	Shipping
-66.62092818	44.37659298	Shipping
-66.61092818	44.37659298	Shipping
-66.60092818	44.37659298	Shipping
-66.59092818	44.37659298	Shipping
-66.58092818	44.37659298	Shipping
-66.57092818	44.37659298	Shipping
-66.56092818	44.37659298	Shipping
-66.55092817	44.37659298	Shipping
-66.54092817	44.37659298	Shipping
-66.53092817	44.37659298	Shipping
-66.52092817	44.37659298	Shipping
-66.51092817	44.37659298	Shipping
-66.50092817	44.37659298	Shipping
-66.7509282	44.36659298	Shipping
-66.7409282	44.36659298	Shipping
-66.7309282	44.36659298	Shipping
-66.7209282	44.36659298	Shipping
-66.7109282	44.36659298	Shipping
-66.7009282	44.36659298	Shipping
-66.69092819	44.36659298	Shipping
-66.68092819	44.36659298	Shipping
-66.67092819	44.36659298	Shipping
-66.66092819	44.36659298	Shipping
-66.65092819	44.36659298	Shipping
-66.64092819	44.36659298	Shipping
-66.63092819	44.36659298	Shipping
-66.62092818	44.36659298	Shipping
-66.61092818	44.36659298	Shipping
-66.60092818	44.36659298	Shipping
-66.59092818	44.36659298	Shipping
-66.58092818	44.36659298	Shipping
-66.57092818	44.36659298	Shipping
-66.56092818	44.36659298	Shipping
-66.55092817	44.36659298	Shipping
-66.54092817	44.36659298	Shipping
-66.53092817	44.36659298	Shipping
-66.52092817	44.36659298	Shipping
-66.51092817	44.36659298	Shipping
-66.50092817	44.36659298	Shipping
-66.77092821	44.35659298	Shipping
-66.7609282	44.35659298	Shipping
-66.7509282	44.35659298	Shipping
-66.7409282	44.35659298	Shipping
-66.7309282	44.35659298	Shipping
-66.7209282	44.35659298	Shipping
-66.7109282	44.35659298	Shipping
-66.7009282	44.35659298	Shipping
-66.69092819	44.35659298	Shipping
-66.68092819	44.35659298	Shipping
-66.67092819	44.35659298	Shipping
-66.66092819	44.35659298	Shipping
-66.65092819	44.35659298	Shipping
-66.64092819	44.35659298	Shipping
-66.63092819	44.35659298	Shipping
-66.62092818	44.35659298	Shipping
-66.61092818	44.35659298	Shipping
-66.60092818	44.35659298	Shipping
-66.59092818	44.35659298	Shipping
-66.58092818	44.35659298	Shipping
-66.57092818	44.35659298	Shipping
-66.56092818	44.35659298	Shipping
-66.55092817	44.35659298	Shipping
-66.54092817	44.35659298	Shipping
-66.53092817	44.35659298	Shipping
-66.52092817	44.35659298	Shipping
-66.51092817	44.35659298	Shipping
-66.50092817	44.35659298	Shipping
-66.79092821	44.34659298	Shipping
-66.78092821	44.34659298	Shipping
-66.77092821	44.34659298	Shipping
-66.7609282	44.34659298	Shipping
-66.7509282	44.34659298	Shipping
-66.7409282	44.34659298	Shipping
-66.7309282	44.34659298	Shipping
-66.7209282	44.34659298	Shipping
-66.7109282	44.34659298	Shipping
-66.7009282	44.34659298	Shipping
-66.69092819	44.34659298	Shipping
-66.68092819	44.34659298	Shipping
-66.67092819	44.34659298	Shipping
-66.66092819	44.34659298	Shipping
-66.65092819	44.34659298	Shipping
-66.64092819	44.34659298	Shipping
-66.63092819	44.34659298	Shipping
-66.62092818	44.34659298	Shipping
-66.61092818	44.34659298	Shipping
-66.60092818	44.34659298	Shipping
-66.59092818	44.34659298	Shipping
-66.58092818	44.34659298	Shipping
-66.57092818	44.34659298	Shipping
-66.56092818	44.34659298	Shipping
-66.55092817	44.34659298	Shipping
-66.54092817	44.34659298	Shipping
-66.53092817	44.34659298	Shipping
